params	results
{'B': 300, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 6}	0.74375
{'B': 300, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 7}	0.76875
{'B': 300, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 8}	0.73125
{'B': 300, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 9}	0.7375
{'B': 300, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 10}	0.75
{'B': 300, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 5}	0.78125
{'B': 300, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 6}	0.775
{'B': 300, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 7}	0.76875
{'B': 300, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 8}	0.76875
{'B': 300, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 9}	0.775
{'B': 300, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 10}	0.775
{'B': 400, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 5}	0.71875
{'B': 400, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 6}	0.73125
{'B': 400, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 7}	0.73125
{'B': 400, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 8}	0.7375
{'B': 400, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 9}	0.725
{'B': 400, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 10}	0.71875
{'B': 400, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 5}	0.73125
{'B': 400, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 6}	0.75
{'B': 400, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 7}	0.73125
{'B': 400, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 8}	0.74375
{'B': 400, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 9}	0.75
{'B': 400, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 10}	0.74375
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 5}	0.74375
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.74375
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.74375
